  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 24012                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.080     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.800  -0.4436   0.07657   0.07440  -0.0270   1.0000   0.0329
  -9.700  -0.4470   0.07432   0.07215  -0.0279   1.0000   0.0329
  -9.600  -0.4498   0.07222   0.07006  -0.0288   1.0000   0.0330
  -9.500  -0.4566   0.06921   0.06705  -0.0306   1.0000   0.0331
  -9.400  -0.5138   0.05686   0.05459  -0.0417   1.0000   0.0327
  -9.300  -0.5289   0.05421   0.05190  -0.0427   1.0000   0.0327
  -9.200  -0.5466   0.05161   0.04923  -0.0429   1.0000   0.0326
  -9.100  -0.5530   0.05036   0.04796  -0.0422   1.0000   0.0327
  -9.000  -0.5622   0.04885   0.04641  -0.0412   1.0000   0.0327
  -8.900  -0.5654   0.04777   0.04531  -0.0405   1.0000   0.0328
  -8.800  -0.5721   0.04598   0.04347  -0.0398   1.0000   0.0328
  -8.700  -0.5720   0.04506   0.04254  -0.0391   1.0000   0.0329
  -8.600  -0.5737   0.04386   0.04131  -0.0384   1.0000   0.0330
  -8.500  -0.5781   0.04225   0.03965  -0.0375   1.0000   0.0330
  -8.400  -0.5794   0.04109   0.03846  -0.0366   1.0000   0.0331
  -8.300  -0.5806   0.03999   0.03733  -0.0357   1.0000   0.0333
  -8.200  -0.5820   0.03884   0.03615  -0.0346   1.0000   0.0334
  -8.100  -0.5856   0.03734   0.03459  -0.0334   1.0000   0.0334
  -8.000  -0.5880   0.03602   0.03322  -0.0321   1.0000   0.0335
  -7.900  -0.5921   0.03445   0.03158  -0.0306   1.0000   0.0335
  -7.700  -0.7147   0.02300   0.01765  -0.0153   1.0000   0.0246
  -7.600  -0.7084   0.02263   0.01725  -0.0145   1.0000   0.0248
  -7.500  -0.7022   0.02219   0.01675  -0.0137   1.0000   0.0250
  -7.400  -0.6960   0.02171   0.01620  -0.0128   1.0000   0.0252
  -7.300  -0.6898   0.02123   0.01565  -0.0119   1.0000   0.0255
  -7.200  -0.6834   0.02075   0.01509  -0.0111   1.0000   0.0257
  -7.100  -0.6769   0.02029   0.01455  -0.0102   1.0000   0.0260
  -7.000  -0.6702   0.01986   0.01404  -0.0094   1.0000   0.0262
  -6.900  -0.6629   0.01944   0.01355  -0.0087   0.9999   0.0265
  -6.800  -0.6485   0.01899   0.01298  -0.0094   0.9990   0.0269
  -6.700  -0.6337   0.01866   0.01255  -0.0101   0.9980   0.0272
  -6.600  -0.6206   0.01779   0.01162  -0.0107   0.9971   0.0276
  -6.500  -0.6063   0.01730   0.01114  -0.0115   0.9961   0.0280
  -6.400  -0.5911   0.01704   0.01089  -0.0124   0.9951   0.0285
  -6.300  -0.5754   0.01684   0.01069  -0.0134   0.9942   0.0289
  -6.200  -0.5603   0.01664   0.01047  -0.0143   0.9928   0.0295
  -6.100  -0.5450   0.01639   0.01020  -0.0152   0.9911   0.0301
  -6.000  -0.5291   0.01611   0.00989  -0.0161   0.9893   0.0307
  -5.900  -0.5128   0.01582   0.00955  -0.0172   0.9877   0.0313
  -5.800  -0.4962   0.01556   0.00924  -0.0182   0.9862   0.0318
  -5.700  -0.4801   0.01513   0.00876  -0.0193   0.9849   0.0323
  -5.600  -0.4648   0.01459   0.00823  -0.0202   0.9838   0.0330
  -5.500  -0.4496   0.01433   0.00799  -0.0211   0.9825   0.0336
  -5.400  -0.4365   0.01413   0.00779  -0.0215   0.9800   0.0342
  -5.300  -0.4222   0.01392   0.00759  -0.0222   0.9780   0.0348
  -5.200  -0.4073   0.01373   0.00739  -0.0229   0.9762   0.0356
  -5.100  -0.3923   0.01355   0.00719  -0.0237   0.9746   0.0365
  -5.000  -0.3772   0.01340   0.00701  -0.0244   0.9729   0.0372
  -4.900  -0.3627   0.01310   0.00670  -0.0251   0.9713   0.0380
  -4.800  -0.3509   0.01273   0.00635  -0.0253   0.9682   0.0390
  -4.700  -0.3391   0.01255   0.00618  -0.0254   0.9643   0.0397
  -4.600  -0.3260   0.01238   0.00603  -0.0258   0.9611   0.0406
  -4.500  -0.3126   0.01222   0.00586  -0.0262   0.9582   0.0416
  -4.400  -0.2996   0.01206   0.00569  -0.0265   0.9550   0.0425
  -4.300  -0.2890   0.01193   0.00554  -0.0262   0.9495   0.0434
  -4.200  -0.2767   0.01184   0.00543  -0.0263   0.9451   0.0442
  -4.100  -0.2656   0.01147   0.00507  -0.0263   0.9412   0.0457
  -4.000  -0.2556   0.01133   0.00494  -0.0260   0.9350   0.0468
  -3.900  -0.2446   0.01121   0.00483  -0.0259   0.9295   0.0481
  -3.800  -0.2332   0.01110   0.00470  -0.0258   0.9245   0.0494
  -3.700  -0.2230   0.01099   0.00458  -0.0254   0.9175   0.0506
  -3.600  -0.2122   0.01091   0.00447  -0.0252   0.9111   0.0516
  -3.500  -0.2026   0.01068   0.00423  -0.0248   0.9042   0.0532
  -3.400  -0.1927   0.01052   0.00408  -0.0244   0.8967   0.0549
  -3.300  -0.1822   0.01044   0.00398  -0.0242   0.8896   0.0566
  -3.200  -0.1719   0.01036   0.00388  -0.0239   0.8815   0.0585
  -3.100  -0.1613   0.01030   0.00379  -0.0236   0.8741   0.0602
  -3.000  -0.1513   0.01018   0.00364  -0.0233   0.8653   0.0621
  -2.900  -0.1414   0.01003   0.00349  -0.0229   0.8570   0.0648
  -2.800  -0.1311   0.00996   0.00340  -0.0226   0.8476   0.0672
  -2.700  -0.1206   0.00990   0.00331  -0.0223   0.8385   0.0697
  -2.600  -0.1101   0.00988   0.00324  -0.0221   0.8285   0.0718
  -2.500  -0.1002   0.00972   0.00309  -0.0217   0.8189   0.0762
  -2.300  -0.0793   0.00963   0.00293  -0.0212   0.7989   0.0833
  -2.200  -0.0692   0.00953   0.00282  -0.0209   0.7891   0.0888
  -2.100  -0.0588   0.00947   0.00274  -0.0207   0.7785   0.0945
  -2.000  -0.0484   0.00941   0.00266  -0.0205   0.7678   0.1013
  -1.900  -0.0383   0.00934   0.00259  -0.0202   0.7570   0.1102
  -1.800  -0.0281   0.00925   0.00251  -0.0199   0.7457   0.1223
  -1.700  -0.0180   0.00914   0.00243  -0.0197   0.7344   0.1407
  -1.600  -0.0085   0.00896   0.00234  -0.0194   0.7235   0.1772
  -1.500  -0.0039   0.00807   0.00215  -0.0186   0.7130   0.3788
  -1.400   0.0030   0.00761   0.00208  -0.0179   0.7026   0.4940
  -1.300   0.0109   0.00737   0.00204  -0.0173   0.6921   0.5639
  -1.200   0.0196   0.00719   0.00202  -0.0167   0.6812   0.6147
